state,sector,year,inspections_conducted,irregularities_detected,prosecutions,convictions,complaints_received,claims_awarded,current_min_wage_rate,irregularity_rate,risk_label
Tamil Nadu,Agriculture & Allied,2022,3690,1735,48,33,19,16,445.0,0.4702,Low
Tamil Nadu,Construction,2018,15675,11600,352,245,161,133,515.0,0.74,Low
Tamil Nadu,Construction,2019,16520,13453,388,261,185,153,515.0,0.8143,Low
Tamil Nadu,Construction,2020,8448,6628,187,113,101,81,515.0,0.7846,Low
Tamil Nadu,Construction,2021,11462,9405,253,176,140,112,515.0,0.8205,Low
Tamil Nadu,Construction,2022,13530,11358,316,214,164,135,515.0,0.8395,Low
Tamil Nadu,Domestic Work,2018,2850,2362,72,50,31,26,475.0,0.8288,Low
Tamil Nadu,Domestic Work,2019,3004,2740,79,53,36,30,475.0,0.9121,Low
Tamil Nadu,Domestic Work,2020,1536,1350,38,23,20,16,475.0,0.8789,Low
Tamil Nadu,Domestic Work,2021,2084,1915,52,36,27,22,475.0,0.9189,Low
Tamil Nadu,Domestic Work,2022,2460,2313,64,44,32,26,475.0,0.9402,Low
Tamil Nadu,Hospitality & Food Services,2018,7125,4851,147,102,68,56,490.0,0.6808,Low
Tamil Nadu,Hospitality & Food Services,2019,7509,5626,162,109,78,65,490.0,0.7492,Low
Tamil Nadu,Hospitality & Food Services,2020,3840,2772,78,47,43,34,490.0,0.7219,Low
Tamil Nadu,Hospitality & Food Services,2021,5210,3933,106,74,59,47,490.0,0.7549,Low
Tamil Nadu,Hospitality & Food Services,2022,6150,4750,132,90,69,57,490.0,0.7724,Low
Tamil Nadu,Manufacturing & Factories,2018,12825,6454,196,136,93,76,500.0,0.5032,Low
Tamil Nadu,Manufacturing & Factories,2019,13516,7485,216,145,106,88,500.0,0.5538,Low
Tamil Nadu,Manufacturing & Factories,2020,6912,3687,104,63,58,46,500.0,0.5334,Low
Tamil Nadu,Manufacturing & Factories,2021,9378,5233,141,98,81,64,500.0,0.558,Low
Tamil Nadu,Manufacturing & Factories,2022,11070,6319,176,119,94,78,500.0,0.5708,Low
Tamil Nadu,Retail & Commercial,2018,14250,8014,243,169,112,92,505.0,0.5624,Low
Tamil Nadu,Retail & Commercial,2019,15018,9295,268,180,128,106,505.0,0.6189,Low
Tamil Nadu,Retail & Commercial,2020,7680,4579,129,78,70,56,505.0,0.5962,Low
Tamil Nadu,Retail & Commercial,2021,10420,6498,175,122,97,77,505.0,0.6236,Low
Tamil Nadu,Retail & Commercial,2022,12300,7847,218,148,113,94,505.0,0.638,Low
Tamil Nadu,Security & Facility,2018,8550,6833,207,144,99,82,535.0,0.7992,Low
Tamil Nadu,Security & Facility,2019,9011,7925,228,154,114,94,535.0,0.8795,Low
Tamil Nadu,Security & Facility,2020,4608,3904,110,66,62,50,535.0,0.8472,Low
Tamil Nadu,Security & Facility,2021,6252,5540,149,104,86,69,535.0,0.8861,Low
Tamil Nadu,Security & Facility,2022,7380,6691,186,126,101,83,535.0,0.9066,Low
Tamil Nadu,Transport & Logistics,2018,5700,3712,113,78,37,31,510.0,0.6512,Low
Tamil Nadu,Transport & Logistics,2019,6007,4305,124,84,43,35,510.0,0.7167,Low
Tamil Nadu,Transport & Logistics,2020,3072,2121,60,36,23,19,510.0,0.6904,Low
Tamil Nadu,Transport & Logistics,2021,4168,3010,81,56,32,26,510.0,0.7222,Low
Tamil Nadu,Transport & Logistics,2022,4920,3634,101,69,38,31,510.0,0.7386,Low
Uttar Pradesh,Agriculture & Allied,2018,990,1042,55,33,28,20,383.0,1.0525,Medium
Uttar Pradesh,Agriculture & Allied,2019,1092,1180,62,37,32,23,383.0,1.0806,Medium
Uttar Pradesh,Agriculture & Allied,2020,534,563,28,16,15,11,383.0,1.0543,Medium
Uttar Pradesh,Agriculture & Allied,2021,786,836,43,25,23,16,383.0,1.0636,Medium
Uttar Pradesh,Agriculture & Allied,2022,966,1058,55,33,29,21,383.0,1.0952,Medium
Uttar Pradesh,Construction,2018,3630,6820,360,217,244,177,408.0,1.8788,High
Uttar Pradesh,Construction,2019,4004,7728,407,245,273,200,408.0,1.9301,High
Uttar Pradesh,Construction,2020,1958,3685,184,104,133,94,408.0,1.882,High
Uttar Pradesh,Construction,2021,2882,5472,280,162,198,140,408.0,1.8987,High
Uttar Pradesh,Construction,2022,3542,6930,363,214,255,185,408.0,1.9565,High
Uttar Pradesh,Domestic Work,2018,660,1389,73,44,47,34,388.0,2.1045,High
Uttar Pradesh,Domestic Work,2019,728,1574,83,50,52,38,388.0,2.1621,High
Uttar Pradesh,Domestic Work,2020,356,750,38,21,26,18,388.0,2.1067,High
Uttar Pradesh,Domestic Work,2021,524,1114,57,33,38,27,388.0,2.126,High
Uttar Pradesh,Domestic Work,2022,644,1411,74,44,49,36,388.0,2.191,High
Uttar Pradesh,Hospitality & Food Services,2018,1650,2852,151,91,103,75,398.0,1.7285,High
Uttar Pradesh,Hospitality & Food Services,2019,1820,3231,170,102,116,85,398.0,1.7753,High
Uttar Pradesh,Hospitality & Food Services,2020,890,1541,77,44,56,40,398.0,1.7315,High
Uttar Pradesh,Hospitality & Food Services,2021,1310,2288,117,68,84,59,398.0,1.7466,High
Uttar Pradesh,Hospitality & Food Services,2022,1610,2898,152,90,108,78,398.0,1.8,High
Uttar Pradesh,Manufacturing & Factories,2018,2970,3794,200,121,141,102,406.0,1.2774,Medium
Uttar Pradesh,Manufacturing & Factories,2019,3276,4299,226,136,158,116,406.0,1.3123,Medium
Uttar Pradesh,Manufacturing & Factories,2020,1602,2050,103,58,76,54,406.0,1.2797,Medium
Uttar Pradesh,Manufacturing & Factories,2021,2358,3045,156,90,114,81,406.0,1.2913,Medium
Uttar Pradesh,Manufacturing & Factories,2022,2898,3856,202,119,147,106,406.0,1.3306,Medium
Uttar Pradesh,Retail & Commercial,2018,3300,4712,249,150,169,122,403.0,1.4279,Medium
Uttar Pradesh,Retail & Commercial,2019,3640,5339,281,169,189,139,403.0,1.4668,Medium
Uttar Pradesh,Retail & Commercial,2020,1780,2546,127,72,92,65,403.0,1.4303,Medium
Uttar Pradesh,Retail & Commercial,2021,2620,3781,194,112,137,97,403.0,1.4431,Medium
Uttar Pradesh,Retail & Commercial,2022,3220,4788,251,148,176,128,403.0,1.487,Medium
Uttar Pradesh,Security & Facility,2018,1980,4018,212,128,150,109,418.0,2.0293,High
Uttar Pradesh,Security & Facility,2019,2184,4552,240,144,168,123,418.0,2.0842,High
Uttar Pradesh,Security & Facility,2020,1068,2171,109,62,82,58,418.0,2.0328,High
Uttar Pradesh,Security & Facility,2021,1572,3224,165,96,122,86,418.0,2.0509,High
Uttar Pradesh,Security & Facility,2022,1932,4082,214,126,157,114,418.0,2.1128,High
Uttar Pradesh,Transport & Logistics,2018,1320,2182,115,70,56,41,408.0,1.653,Medium
Uttar Pradesh,Transport & Logistics,2019,1456,2473,130,78,63,46,408.0,1.6985,Medium
Uttar Pradesh,Transport & Logistics,2020,712,1179,59,33,31,22,408.0,1.6559,Medium
Uttar Pradesh,Transport & Logistics,2021,1048,1751,90,52,46,32,408.0,1.6708,Medium
Uttar Pradesh,Transport & Logistics,2022,1288,2218,116,69,59,43,408.0,1.722,High
West Bengal,Agriculture & Allied,2018,906,773,30,18,18,13,388.0,0.8532,Low
West Bengal,Agriculture & Allied,2019,984,848,34,20,20,15,388.0,0.8618,Low
West Bengal,Agriculture & Allied,2020,474,403,15,8,9,7,388.0,0.8502,Low
West Bengal,Agriculture & Allied,2021,708,601,23,13,14,10,388.0,0.8489,Low
West Bengal,Agriculture & Allied,2022,852,735,29,17,17,13,388.0,0.8627,Low
West Bengal,Construction,2018,3322,5060,198,118,153,114,418.0,1.5232,Medium
West Bengal,Construction,2019,3608,5555,223,132,172,130,418.0,1.5396,Medium
West Bengal,Construction,2020,1738,2640,99,52,81,57,418.0,1.519,Medium
West Bengal,Construction,2021,2596,3932,151,85,120,88,418.0,1.5146,Medium
West Bengal,Construction,2022,3124,4812,190,113,151,112,418.0,1.5403,Medium
West Bengal,Domestic Work,2018,604,1030,40,24,30,22,398.0,1.7053,Medium
West Bengal,Domestic Work,2019,656,1131,45,27,33,25,398.0,1.7241,High
West Bengal,Domestic Work,2020,316,538,20,11,16,11,398.0,1.7025,Medium
West Bengal,Domestic Work,2021,472,801,31,17,23,17,398.0,1.697,Medium
West Bengal,Domestic Work,2022,568,980,39,23,29,22,398.0,1.7254,High
West Bengal,Hospitality & Food Services,2018,1510,2116,83,49,65,48,408.0,1.4013,Medium
West Bengal,Hospitality & Food Services,2019,1640,2323,93,55,73,55,408.0,1.4165,Medium
West Bengal,Hospitality & Food Services,2020,790,1104,41,22,34,24,408.0,1.3975,Medium
West Bengal,Hospitality & Food Services,2021,1180,1644,63,36,51,37,408.0,1.3932,Medium
West Bengal,Hospitality & Food Services,2022,1420,2012,79,47,64,47,408.0,1.4169,Medium
West Bengal,Manufacturing & Factories,2018,2718,2815,110,66,88,66,415.0,1.0357,Medium
West Bengal,Manufacturing & Factories,2019,2952,3091,124,73,99,75,415.0,1.0471,Medium
West Bengal,Manufacturing & Factories,2020,1422,1469,55,29,46,33,415.0,1.0331,Low
West Bengal,Manufacturing & Factories,2021,2124,2188,84,47,69,51,415.0,1.0301,Low
West Bengal,Manufacturing & Factories,2022,2556,2678,106,63,87,64,415.0,1.0477,Medium
West Bengal,Retail & Commercial,2018,3020,3496,137,82,106,79,413.0,1.1576,Medium
West Bengal,Retail & Commercial,2019,3280,3838,154,91,119,90,413.0,1.1701,Medium
West Bengal,Retail & Commercial,2020,1580,1824,68,36,56,40,413.0,1.1544,Medium
West Bengal,Retail & Commercial,2021,2360,2717,104,59,83,61,413.0,1.1513,Medium
West Bengal,Retail & Commercial,2022,2840,3325,131,78,104,77,413.0,1.1708,Medium
West Bengal,Security & Facility,2018,1812,2981,117,70,94,70,428.0,1.6451,Medium
West Bengal,Security & Facility,2019,1968,3272,131,78,106,80,428.0,1.6626,Medium
West Bengal,Security & Facility,2020,948,1555,58,31,50,35,428.0,1.6403,Medium
West Bengal,Security & Facility,2021,1416,2317,89,50,74,54,428.0,1.6363,Medium
West Bengal,Security & Facility,2022,1704,2835,112,66,93,69,428.0,1.6637,Medium
West Bengal,Transport & Logistics,2018,1208,1619,63,38,35,26,418.0,1.3402,Medium
West Bengal,Transport & Logistics,2019,1312,1778,71,42,40,30,418.0,1.3552,Medium
West Bengal,Transport & Logistics,2020,632,845,32,17,19,13,418.0,1.337,Medium
West Bengal,Transport & Logistics,2021,944,1258,48,27,28,20,418.0,1.3326,Medium
West Bengal,Transport & Logistics,2022,1136,1540,61,36,35,26,418.0,1.3556,Medium
